id,name,neighbourhood,room_type
8088629,Private cottage in a garden,Sunnyvale,Entire home/apt
8089439,Private Bedroom near Apple HQ and Amazon,San Jose,Private room
8102677,Silicon Valley with Public Transit,Sunnyvale,Private room
8119000,Los Altos Grand Luxury 5 BR Retreat,Los Altos,Entire home/apt
8132693,Contemporary Palo Alto Home,Palo Alto,Entire home/apt
8169807,"Nice,quiet,clean and safe room 3",Unincorporated Areas,Private room
8186098,Silicon Valley private furnished room Downtown SJ,San Jose,Private room
8213401,Lg private room & bath in Gilroy,Gilroy,Private room
8221120,Private Los Altos Country Cottage,Unincorporated Areas,Entire home/apt
8226171,SJC - Private Room/1BA,San Jose,Private room
8286942,Private Room w/ Bath and Pool,Palo Alto,Private room
8336822,"""Home Away from Home, 2"" in Santa Clara",Santa Clara,Entire home/apt
8338685,Private Home onBeautiful MiniRanch *min 30 days*,Unincorporated Areas,Entire home/apt
8339500,"Super clean, quiet & safe neighborhood, views",San Jose,Private room
8373039,Guest Suite with shared backyard,San Jose,Entire home/apt
8421703,Charming Downtown Los Gatos Retreat,Los Gatos,Entire home/apt
8431143,"227 2bdrm/1bth/crport/blcny, dwntwn",Palo Alto,Entire home/apt
8441237,"Private bathroom private room, 13 min to tesla",San Jose,Private room
8473858,"Modern & Clean, Must Love Indoor/Outdoor Living",Los Altos,Entire home/apt
8489568,Private Room near San Jose,Campbell,Private room
8501390,"Cozy/Affordable 2B/2B  house, N San Jose foothills",Unincorporated Areas,Entire home/apt
8502363,Cozy Guest Cottage in Willow Glen,San Jose,Entire home/apt
8538697,Nob Hill San Jose Studio,San Jose,Entire home/apt
8554434,Beautiful Home in Sunnyvale,Sunnyvale,Private room
8634099,2 Bedroom Apt. Home - Conviently Located,San Jose,Entire home/apt
8674455,Beautiful Private Room In Sunnyvale,Sunnyvale,Private room
8689673,Sunny Bedroom in Modern Home,Mountain View,Private room
8721627,Splash Pad,San Jose,Entire home/apt
8759043,"Comfortable, Modern, Bright w/Patio",Sunnyvale,Entire home/apt
8829333,"Female-Only Room: Quiet, Clean, & Food Provided",San Jose,Shared room
8830296,Sanitized Private Room,Cupertino,Private room
8843217,Bright Spacious -Dedicated Workspace -Free Parking,San Jose,Entire home/apt
8890982,Spacious Spanish Style Yellow Home,Mountain View,Entire home/apt
8920608,Nature Lover Private Palo Alto Room and Bathroom,Palo Alto,Private room
8974435,Silicon Valley Guest House & Secret Garden,Campbell,Entire home/apt
8990846,#2 Private bedroom and adjoining office room.,San Jose,Private room
8995123,2Vegan Sculpture Garden ofSunnyvale,Sunnyvale,Private room
9018922,Perfect for long stays! Last minute discounts,Milpitas,Entire home/apt
